Campo;Obbligatorio;Tipo;Sezione;Note
Tipo Beneficio;;select;Dati beneficio;Combo valorizzata da tipoBeneficio
Provvedimento di Concessione;;select;Dati beneficio;Combo valorizzata da listaDPR
Applicazione del beneficio;;select;Dati beneficio;Combo sottotipo con onchange CaricaPena()
Anni Reclusione;;input text;Reclusione;Campo ARec con validazione numerica
Mesi Reclusione;;input text;Reclusione;Campo MRec con validazione numerica
Giorni Reclusione;;input text;Reclusione;Campo GRec con validazione numerica
Multa (parte intera);;input text;Reclusione;Campo Multa con validazione numerica
Multa (parte decimale);;input text;Reclusione;Campo Mul_dec con validazione numerica
Anni Arresto;;input text;Arresto;Campo AArr con validazione numerica
Mesi Arresto;;input text;Arresto;Campo MArr con validazione numerica
Giorni Arresto;;input text;Arresto;Campo GArr con validazione numerica
Ammenda (parte intera);;input text;Arresto;Campo Ammenda con validazione numerica
Ammenda (parte decimale);;input text;Arresto;Campo Amm_dec con validazione numerica
Note;;textarea;Note;Campo CAMPO_NOTE
Tipo Pena Accessoria;;checkbox;Pene accessorie;Checkbox multiple CAMPO_ID_PENA_ACCESSORIA visibili in base al sottotipo
