Campo;Obbligatorio;Tipo;Sezione;Note
Fonte (riga 1-5);*;select;Definizione articolo;Obbligatorio con Articolo: se uno dei due è valorizzato deve esserci anche l'altro
Anno Fonte (riga 1-5);;input text;Definizione articolo;Numerico (4 cifre), compilabile solo se presente la coppia Fonte/Articolo
Numero Fonte (riga 1-5);;input text;Definizione articolo;Alfanumerico, compilabile solo se presente la coppia Fonte/Articolo
Articolo (riga 1-5);*;input text;Definizione articolo;Obbligatorio con Fonte: se uno dei due è valorizzato deve esserci anche l'altro
Articolo qualificante (riga 1-5);;select;Definizione articolo;Compilabile solo se presente la coppia Fonte/Articolo
Comma (riga 1-5);*;input text;Definizione articolo;Obbligatorio se Comma qualificante è valorizzato
Comma qualificante (riga 1-5);;select;Definizione articolo;Se valorizzato richiede Comma
Lettera (riga 1-5);;input text;Definizione articolo;Compilabile solo se presente la coppia Fonte/Articolo
Numero (riga 1-5);;input text;Definizione articolo;Compilabile solo se presente la coppia Fonte/Articolo
99 CP C1;;checkbox;Circostanze cablate;Checkbox multipla
99 CP C2 N1;;checkbox;Circostanze cablate;Checkbox multipla
99 CP C2 N2;;checkbox;Circostanze cablate;Checkbox multipla
99 CP C2 N3;;checkbox;Circostanze cablate;Checkbox multipla
99 CP C3;;checkbox;Circostanze cablate;Checkbox multipla
99 CP C4;;checkbox;Circostanze cablate;Checkbox multipla
102 CP;;checkbox;Circostanze cablate;Checkbox
103 CP;;checkbox;Circostanze cablate;Checkbox
104 CP;;checkbox;Circostanze cablate;Checkbox
105 CP;;checkbox;Circostanze cablate;Checkbox
108 CP;;checkbox;Circostanze cablate;Checkbox
62 CP N1;;checkbox;Circostanze cablate;Checkbox multipla
62 CP N2;;checkbox;Circostanze cablate;Checkbox multipla
62 CP N3;;checkbox;Circostanze cablate;Checkbox multipla
62 CP N4;;checkbox;Circostanze cablate;Checkbox multipla
62 CP N5;;checkbox;Circostanze cablate;Checkbox multipla
62 CP N6;;checkbox;Circostanze cablate;Checkbox multipla
62 BIS CP;;checkbox;Circostanze cablate;Checkbox
Sentenza di applicazione pena;;checkbox;Campi comuni;In modifica può risultare non editabile (renderizzato come hidden)
Bilanciamento circostanze;;select;Campi comuni;In modifica può risultare non editabile (renderizzato come hidden)
Annotazioni Bilanciamento circostanze;;textarea;Campi comuni;
Giudizio abbreviato;;checkbox;Campi comuni;In modifica può risultare non editabile (renderizzato come hidden)
