Campo;Obbligatorio;Tipo;Sezione;Note
Giorno Data Iscrizione Procedimento;*;input text;Dati procedimento;Obbligatorio in assegnazione manuale, hidden in assegnazione automatica
Mese Data Iscrizione Procedimento;*;input text;Dati procedimento;Obbligatorio in assegnazione manuale, hidden in assegnazione automatica
Anno Data Iscrizione Procedimento;*;input text;Dati procedimento;Obbligatorio in assegnazione manuale, hidden in assegnazione automatica
Giorno Data Arrivo Atto;;input text;Dati procedimento;Data validata da JavaScript
Mese Data Arrivo Atto;;input text;Dati procedimento;Data validata da JavaScript
Anno Data Arrivo Atto;;input text;Dati procedimento;Data validata da JavaScript
Giorno Data Irrevocabilità / Esecutivo il;;input text;Dati procedimento;Data validata da JavaScript
Mese Data Irrevocabilità / Esecutivo il;;input text;Dati procedimento;Data validata da JavaScript
Anno Data Irrevocabilità / Esecutivo il;;input text;Dati procedimento;Data validata da JavaScript
Anno Procedimento;*;input text;Assegnazione manuale;Obbligatorio solo se assegnazione_manuale = S
Numero Procedimento;*;input text;Assegnazione manuale;Obbligatorio solo se assegnazione_manuale = S
Assegna numerazione speciale;;checkbox;Assegnazione manuale;Mostra azioni R.E.S. / P.T. e disabilita anno/numero procedimento
Classe I;;radio;Classe procedimento;Opzione radio gruppo tipo
Classe II;;radio;Classe procedimento;Opzione radio gruppo tipo
Classe III;;radio;Classe procedimento;Opzione radio gruppo tipo
Classe IV;;radio;Classe procedimento;Opzione radio gruppo tipo
Classe V;;radio;Classe procedimento;Opzione radio gruppo tipo
Classe VI;;radio;Classe procedimento;Opzione radio gruppo tipo
Classe VII;;radio;Classe procedimento;Opzione radio gruppo tipo
Note Procedimento;;textarea;Note;
