Campo;Obbligatorio;Tipo;Sezione;Note
Giorno Data Pervenimento;;input text;Dati Notizia Reato;Campo data (dd)
Mese Data Pervenimento;;input text;Dati Notizia Reato;Campo data (MM)
Anno Data Pervenimento;;input text;Dati Notizia Reato;Campo data (yyyy)
Giorno Data Acquisizione;;input text;Dati Notizia Reato;Campo data (dd)
Mese Data Acquisizione;;input text;Dati Notizia Reato;Campo data (MM)
Anno Data Acquisizione;;input text;Dati Notizia Reato;Campo data (yyyy)
Acquisizione Diretta;;select;Dati Notizia Reato;Selezione da combo
Giorno Data Fatto;*;input text;Dati Notizia Reato;Obbligatorio (campo mostrato con asterisco in pagina)
Mese Data Fatto;*;input text;Dati Notizia Reato;Parte della Data Fatto obbligatoria
Anno Data Fatto;*;input text;Dati Notizia Reato;Parte della Data Fatto obbligatoria
Descrizione Fonte;;input text;Dati Notizia Reato;
Comune Fonte;*;input text;Dati Notizia Reato;Obbligatorio
Numero Registro Autorità;;input text;Dati Notizia Reato;
Luogo Provenienza;;input text;Dati Notizia Reato;
Numero Ricevuta;;input text;Dati Notizia Reato;
Giorno Data Arresto;;input text;Dati Notizia Reato;Campo data (dd)
Mese Data Arresto;;input text;Dati Notizia Reato;Campo data (MM)
Anno Data Arresto;;input text;Dati Notizia Reato;Campo data (yyyy)
Giorno Data Fermo;;input text;Dati Notizia Reato;Campo data (dd)
Mese Data Fermo;;input text;Dati Notizia Reato;Campo data (MM)
Anno Data Fermo;;input text;Dati Notizia Reato;Campo data (yyyy)
Fotosegnalato;;select;Fotosegnalazione;Se S rende obbligatori i campi del blocco Fotosegnalazione
Giorno Data Fotosegnalazione;*;input text;Fotosegnalazione;Obbligatorio se Fotosegnalato=S
Mese Data Fotosegnalazione;*;input text;Fotosegnalazione;Obbligatorio se Fotosegnalato=S
Anno Data Fotosegnalazione;*;input text;Fotosegnalazione;Obbligatorio se Fotosegnalato=S
Autorità Fotosegnalazione;*;select;Fotosegnalazione;Obbligatorio se Fotosegnalato=S
Comune Fotosegnalazione;*;input text;Fotosegnalazione;Obbligatorio se Fotosegnalato=S
