Campo;Obbligatorio;Tipo;Sezione;Note
Libero;;radio;Scelta sezione;Radio iniziale della pagina
Espiazione Pena in Istituto di Detenzione;;radio;Scelta sezione;Radio iniziale della pagina
Espiazione Pena in Altro Luogo;;radio;Scelta sezione;Radio iniziale della pagina
Posizione Giuridica;*;select;Libero;Obbligatoria nella sezione Libero
Detenuto per altra causa;;checkbox;Libero;Mostra la sottosezione altra causa
Definitivo - in Istituto di Detenzione;;radio;Libero / Altra causa;Opzione radio visibile se è selezionato Detenuto per altra causa
Misure Cautelari - in Istituto di Detenzione;;radio;Libero / Altra causa;Opzione radio visibile se è selezionato Detenuto per altra causa
Misure Cautelari - in Altro Luogo;;radio;Libero / Altra causa;Opzione radio visibile se è selezionato Detenuto per altra causa
Tipo Misura;*;select;Libero / Altra causa / Definitivo in istituto;Obbligatorio se è selezionato Detenuto per altra causa con radio DD
Istituto;;input text;Libero / Altra causa / Definitivo in istituto;Readonly, valorizzato tramite popup
Anno SIEP;;input text;Libero / Altra causa / Definitivo in istituto;
Numero SIEP;;input text;Libero / Altra causa / Definitivo in istituto;
Autorità;;select;Libero / Altra causa / Definitivo in istituto;
Luogo;;input text;Libero / Altra causa / Definitivo in istituto;Selezionabile tramite popup
Giorno Data Scadenza Altra Pena;;input text;Libero / Altra causa / Definitivo in istituto;Data opzionale ma validata
Mese Data Scadenza Altra Pena;;input text;Libero / Altra causa / Definitivo in istituto;Data opzionale ma validata
Anno Data Scadenza Altra Pena;;input text;Libero / Altra causa / Definitivo in istituto;Data opzionale ma validata
Anno RG.N.R.;;input text;Libero / Altra causa / Misure cautelari in istituto;
Numero RG.N.R.;;input text;Libero / Altra causa / Misure cautelari in istituto;
Tipo Ufficio PM;*;select;Libero / Altra causa / Misure cautelari in istituto;Obbligatorio con radio MCD
Sede;*;input text;Libero / Altra causa / Misure cautelari in istituto;Obbligatoria con radio MCD, valorizzabile tramite popup
Anno B.D.M.C.;;input text;Libero / Altra causa / Misure cautelari in istituto;
Numero B.D.M.C.;;input text;Libero / Altra causa / Misure cautelari in istituto;
Anno Reg. Gen.;;input text;Libero / Altra causa / Misure cautelari in istituto;
Numero Reg. Gen.;;input text;Libero / Altra causa / Misure cautelari in istituto;
Tipo Ufficio Reg. Gen.;;select;Libero / Altra causa / Misure cautelari in istituto;
Autorità Emittente;*;select;Libero / Altra causa / Misure cautelari in istituto;Obbligatoria con radio MCD
Luogo Emittente;;input text;Libero / Altra causa / Misure cautelari in istituto;Selezionabile tramite popup
Giorno Data emissione Ordinanza;;input text;Libero / Altra causa / Misure cautelari in istituto;Data opzionale ma validata
